10 2.0296828746795654 [121,31], free 1.0 [121,31], free 1.0
11 2.2403156757354736 [19,21], free 1.0 [19,21], free 1.0
9 2.179849863052368 [102,47], free 1.0 [102,47], free 1.0
21 5.446893215179443 [117,33], free 1.0 [117,33], free 1.0
5 2.0454108715057373 [73,27], free 1.0 [73,27], free 1.0
6 1.7329015731811523 [87,20], free 1.0 [87,20], free 1.0
4 1.0895617008209229 [49,31], free 1.0 [49,31], free 1.0
13 3.13350510597229 [75,49], free 1.0 [75,49], free 1.0
17 3.6044182777404785 [36,3], free 1.0 [36,3], free 1.0
12 2.517486333847046 [106,32], free 1.0 [106,32], free 1.0
9 1.8493404388427734 [59,15], free 1.0 [59,15], free 1.0
7 1.4259343147277832 [63,27], free 1.0 [63,27], free 1.0
13 2.9274439811706543 [56,48], free 1.0 [56,48], free 1.0
21 5.253907203674316 [3,45], free 1.0 [3,45], free 1.0
7 2.502870798110962 [21,51], free 1.0 [21,51], free 1.0
8 1.6919209957122803 [107,9], free 1.0 [107,9], free 1.0
11 2.6773769855499268 [1,31], free 1.0 [1,31], free 1.0
29 6.375217914581299 [125,31], free 1.0 [125,31], free 1.0
14 2.9548299312591553 [28,9], free 1.0 [28,9], free 1.0
5 1.0219528675079346 [91,3], free 1.0 [91,3], free 1.0
6 1.2461473941802979 [148,42], free 1.0 [148,42], free 1.0
11 2.299621105194092 [18,6], free 1.0 [18,6], free 1.0
8 1.6386220455169678 [52,12], free 1.0 [52,12], free 1.0
14 3.052922010421753 [40,1], free 1.0 [40,1], free 1.0
12 2.592414379119873 [81,21], free 1.0 [81,21], free 1.0
15 3.0976669788360596 [115,7], free 1.0 [115,7], free 1.0
11 2.2592577934265137 [110,2], free 1.0 [110,2], free 1.0
11 2.2748608589172363 [59,29], free 1.0 [59,29], free 1.0
6 1.225442886352539 [93,19], free 1.0 [93,19], free 1.0
11 2.270318031311035 [48,33], free 1.0 [48,33], free 1.0
4 0.8424041271209717 [59,17], free 1.0 [59,17], free 1.0
13 2.6934406757354736 [25,7], free 1.0 [25,7], free 1.0
30 6.240244626998901 [87,37], free 1.0 [87,37], free 1.0
7 1.4576032161712646 [105,31], free 1.0 [105,31], free 1.0
16 3.323394298553467 [61,51], free 1.0 [61,51], free 1.0
15 3.1886794567108154 [103,1], free 1.0 [103,1], free 1.0
11 2.438821315765381 [101,45], free 1.0 [101,45], free 1.0
8 1.7462923526763916 [31,21], free 1.0 [31,21], free 1.0
5 1.057891845703125 [139,35], free 1.0 [139,35], free 1.0
11 2.3050177097320557 [77,31], free 1.0 [77,31], free 1.0
14 2.93904447555542 [17,17], free 1.0 [17,17], free 1.0
2 0.3984217643737793 [60,28], free 1.0 [60,28], free 1.0
11 2.2945032119750977 [87,20], free 1.0 [87,20], free 1.0
4 0.8358340263366699 [106,22], free 1.0 [106,22], free 1.0
4 0.8358588218688965 [4,44], free 1.0 [4,44], free 1.0
13 3.2918224334716797 [80,12], free 1.0 [80,12], free 1.0
25 5.283719301223755 [25,3], free 1.0 [25,3], free 1.0
17 3.5328166484832764 [99,41], free 1.0 [99,41], free 1.0
13 2.6953837871551514 [141,6], free 1.0 [141,6], free 1.0
13 2.692680597305298 [43,49], free 1.0 [43,49], free 1.0
7 1.4785537719726562 [41,7], free 1.0 [41,7], free 1.0
14 2.9919652938842773 [101,13], free 1.0 [101,13], free 1.0
9 2.7276711463928223 [77,17], free 1.0 [77,17], free 1.0
23 4.800287246704102 [61,37], free 1.0 [61,37], free 1.0
4 0.895643949508667 [36,17], free 1.0 [36,17], free 1.0
17 5.907493591308594 [115,10], free 1.0 [115,10], free 1.0
7 1.5933823585510254 [145,53], free 1.0 [145,53], free 1.0
9 1.9274301528930664 [64,14], free 1.0 [64,14], free 1.0
5 1.070312261581421 [153,11], free 1.0 [153,11], free 1.0
8 1.6832919120788574 [117,21], free 1.0 [117,21], free 1.0
16 3.336003303527832 [108,22], free 1.0 [108,22], free 1.0
11 2.2955667972564697 [40,21], free 1.0 [40,21], free 1.0
2 0.4220428466796875 [16,46], free 1.0 [16,46], free 1.0
9 1.889965534210205 [113,14], free 1.0 [113,14], free 1.0
45 9.655937433242798 [38,53], free 1.0 [38,53], free 1.0
16 3.372645616531372 [67,35], free 1.0 [67,35], free 1.0
18 3.798562526702881 [90,3], free 1.0 [90,3], free 1.0
9 1.8605265617370605 [104,32], free 1.0 [104,32], free 1.0
3 0.6143834590911865 [6,45], free 1.0 [6,45], free 1.0
15 3.1224887371063232 [151,19], free 1.0 [151,19], free 1.0
10 2.1117231845855713 [141,45], free 1.0 [141,45], free 1.0
5 1.070997953414917 [125,39], free 1.0 [125,39], free 1.0
6 1.3425180912017822 [131,23], free 1.0 [131,23], free 1.0
15 3.337092161178589 [26,7], free 1.0 [26,7], free 1.0
9 1.9037723541259766 [15,3], free 1.0 [15,3], free 1.0
11 2.3355185985565186 [61,19], free 1.0 [61,19], free 1.0
9 1.875215768814087 [97,7], free 1.0 [97,7], free 1.0
18 3.8361880779266357 [92,13], free 1.0 [92,13], free 1.0
7 1.4387288093566895 [29,3], free 1.0 [29,3], free 1.0
15 3.0825750827789307 [50,27], free 1.0 [50,27], free 1.0
9 1.846174716949463 [36,47], free 1.0 [36,47], free 1.0
15 3.094032049179077 [85,44], free 1.0 [85,44], free 1.0
10 2.08144474029541 [123,45], free 1.0 [123,45], free 1.0
12 2.5023882389068604 [72,19], free 1.0 [72,19], free 1.0
7 1.4562532901763916 [53,44], free 1.0 [53,44], free 1.0
13 2.7391581535339355 [21,52], free 1.0 [21,52], free 1.0
20 4.419444561004639 [53,3], free 1.0 [53,3], free 1.0
7 1.6333754062652588 [109,37], free 1.0 [109,37], free 1.0
21 4.4421679973602295 [40,53], free 1.0 [40,53], free 1.0
4 0.8387060165405273 [47,21], free 1.0 [47,21], free 1.0
29 6.245556116104126 [73,9], free 1.0 [73,9], free 1.0
12 2.524413585662842 [129,26], free 1.0 [129,26], free 1.0
19 4.016198635101318 [87,51], free 1.0 [87,51], free 1.0
18 4.15340781211853 [7,40], free 1.0 [7,40], free 1.0
15 4.512782096862793 [129,5], free 1.0 [129,5], free 1.0
8 1.915630578994751 [129,2], free 1.0 [129,2], free 1.0
4 0.8810322284698486 [112,27], free 1.0 [112,27], free 1.0
8 1.686142921447754 [7,49], free 1.0 [7,49], free 1.0
10 2.1620044708251953 [42,50], free 1.0 [42,50], free 1.0
5 1.052994966506958 [148,43], free 1.0 [148,43], free 1.0
8 1.9419584274291992 [50,27], free 1.0 [50,27], free 1.0
18 3.77590274810791 [133,49], free 1.0 [133,49], free 1.0
6 1.3027639389038086 [139,10], free 1.0 [139,10], free 1.0
5 1.322279453277588 [98,29], free 1.0 [98,29], free 1.0
7 2.2313103675842285 [131,27], free 1.0 [131,27], free 1.0
30 7.894777774810791 [43,47], free 1.0 [43,47], free 1.0
40 11.335483074188232 [129,38], free 1.0 [129,38], free 1.0
24 7.184412717819214 [99,2], free 1.0 [99,2], free 1.0
9 2.0163347721099854 [127,31], free 1.0 [127,31], free 1.0
10 3.157956600189209 [121,41], free 1.0 [121,41], free 1.0
9 1.8786590099334717 [138,51], free 1.0 [138,51], free 1.0
7 2.0396676063537598 [79,40], free 1.0 [79,40], free 1.0
9 2.1617980003356934 [141,45], free 1.0 [141,45], free 1.0
8 1.6399435997009277 [67,19], free 1.0 [67,19], free 1.0
7 1.465296745300293 [72,33], free 1.0 [72,33], free 1.0
8 1.7729597091674805 [153,3], free 1.0 [153,3], free 1.0
9 2.068777322769165 [64,12], free 1.0 [64,12], free 1.0
12 2.6253674030303955 [73,32], free 1.0 [73,32], free 1.0
15 3.2379956245422363 [75,3], free 1.0 [75,3], free 1.0
26 6.363051652908325 [42,53], free 1.0 [42,53], free 1.0
18 4.627184867858887 [146,43], free 1.0 [146,43], free 1.0
5 1.8523521423339844 [66,13], free 1.0 [66,13], free 1.0
13 3.086305856704712 [67,25], free 1.0 [67,25], free 1.0
3 0.6291985511779785 [8,9], free 1.0 [8,9], free 1.0
23 4.820843696594238 [61,25], free 1.0 [61,25], free 1.0
5 1.0387699604034424 [83,19], free 1.0 [83,19], free 1.0
12 2.6114230155944824 [149,29], free 1.0 [149,29], free 1.0
5 1.0617351531982422 [82,31], free 1.0 [82,31], free 1.0
20 4.6061108112335205 [133,45], free 1.0 [133,45], free 1.0
4 0.8091835975646973 [31,20], free 1.0 [31,20], free 1.0
19 3.9460387229919434 [103,49], free 1.0 [103,49], free 1.0
4 0.8462696075439453 [131,38], free 1.0 [131,38], free 1.0
61 13.297956228256226 [148,53], free 1.0 [148,53], free 1.0
6 1.2564187049865723 [99,3], free 1.0 [99,3], free 1.0
7 1.456409215927124 [47,7], free 1.0 [47,7], free 1.0
18 3.74662184715271 [83,1], free 1.0 [83,1], free 1.0
6 1.2550551891326904 [63,52], free 1.0 [63,52], free 1.0
11 2.407508373260498 [123,17], free 1.0 [123,17], free 1.0
5 1.2796452045440674 [21,7], free 1.0 [21,7], free 1.0
9 1.9755022525787354 [89,11], free 1.0 [89,11], free 1.0
11 2.287060022354126 [120,19], free 1.0 [120,19], free 1.0
7 1.470923900604248 [150,41], free 1.0 [150,41], free 1.0
9 1.854827642440796 [71,51], free 1.0 [71,51], free 1.0
3 0.6259438991546631 [55,34], free 1.0 [55,34], free 1.0
6 1.2464103698730469 [88,4], free 1.0 [88,4], free 1.0
4 0.8154873847961426 [86,23], free 1.0 [86,23], free 1.0
13 2.7034647464752197 [70,29], free 1.0 [70,29], free 1.0
19 4.111238241195679 [119,33], free 1.0 [119,33], free 1.0
4 0.8980956077575684 [131,50], free 1.0 [131,50], free 1.0
12 2.736529588699341 [28,8], free 1.0 [28,8], free 1.0
7 1.4238102436065674 [72,35], free 1.0 [72,35], free 1.0
8 1.6599230766296387 [115,31], free 1.0 [115,31], free 1.0
8 1.7836756706237793 [105,29], free 1.0 [105,29], free 1.0
3 0.6161327362060547 [141,18], free 1.0 [141,18], free 1.0
3 0.6058366298675537 [22,49], free 1.0 [22,49], free 1.0
5 1.0418527126312256 [121,28], free 1.0 [121,28], free 1.0
11 2.39607310295105 [96,27], free 1.0 [96,27], free 1.0
16 3.4737660884857178 [45,23], free 1.0 [45,23], free 1.0
11 2.2852911949157715 [31,35], free 1.0 [31,35], free 1.0
5 1.0169486999511719 [129,3], free 1.0 [129,3], free 1.0
22 4.729540109634399 [14,5], free 1.0 [14,5], free 1.0
13 2.707190752029419 [75,27], free 1.0 [75,27], free 1.0
5 1.0652399063110352 [32,1], free 1.0 [32,1], free 1.0
7 1.4221994876861572 [36,34], free 1.0 [36,34], free 1.0
7 1.42584228515625 [4,31], free 1.0 [4,31], free 1.0
15 3.2290773391723633 [28,9], free 1.0 [28,9], free 1.0
13 2.6595613956451416 [59,9], free 1.0 [59,9], free 1.0
16 3.409660816192627 [40,27], free 1.0 [40,27], free 1.0
5 1.207547903060913 [147,23], free 1.0 [147,23], free 1.0
8 1.7093253135681152 [16,51], free 1.0 [16,51], free 1.0
11 3.0543177127838135 [33,31], free 1.0 [33,31], free 1.0
8 2.098970890045166 [89,17], free 1.0 [89,17], free 1.0
32 6.812708377838135 [12,27], free 1.0 [12,27], free 1.0
6 1.7721478939056396 [83,23], free 1.0 [83,23], free 1.0
7 2.2226035594940186 [153,41], free 1.0 [153,41], free 1.0
10 2.2728710174560547 [55,51], free 1.0 [55,51], free 1.0
15 4.615299940109253 [81,43], free 1.0 [81,43], free 1.0
18 4.353401184082031 [14,11], free 1.0 [14,11], free 1.0
11 2.281813859939575 [20,28], free 1.0 [20,28], free 1.0
