21 4.313914775848389 [149,45], free 1.0 [149,45], free 1.0
12 2.493406057357788 [51,23], free 1.0 [51,23], free 1.0
9 3.231395721435547 [7,10], free 1.0 [7,10], free 1.0
5 1.0170934200286865 [133,13], free 1.0 [133,13], free 1.0
6 1.24617338180542 [126,41], free 1.0 [126,41], free 1.0
18 4.210769891738892 [141,42], free 1.0 [141,42], free 1.0
17 3.827685594558716 [67,51], free 1.0 [67,51], free 1.0
12 2.5278480052948 [47,7], free 1.0 [47,7], free 1.0
11 2.2563135623931885 [23,9], free 1.0 [23,9], free 1.0
7 1.455500602722168 [135,7], free 1.0 [135,7], free 1.0
37 7.643340826034546 [97,31], free 1.0 [97,31], free 1.0
11 2.3054451942443848 [21,23], free 1.0 [21,23], free 1.0
8 1.6375980377197266 [34,2], free 1.0 [34,2], free 1.0
6 1.2423551082611084 [85,25], free 1.0 [85,25], free 1.0
FINISH
Iterations:  100
Map size (width height):  155 55
Mean of steps:  13.5
Mean of time per iteration:  3.042738587856293
Median of steps:  11.0
Median of time per iteration:  2.4742815494537354
Total elapsed time:  323.40096497535706
