22 0.5237722396850586 Robot: (24, 27, [0, 0, 1, 0]) Solution: [24, 27] [0, 0, 1, 0]
37 0.8886523246765137 Robot: (7, 1, [1, 0, 0, 0]) Solution: [7, 1] [1, 0, 0, 0]
26 0.6341698169708252 Robot: (1, 30, [0, 1, 0, 1]) Solution: [1, 30] [0, 1, 0, 1]
45 1.0998284816741943 Robot: (19, 37, [1, 0, 1, 0]) Solution: [19, 37] [1, 0, 1, 0]
45 1.08601975440979 Robot: (11, 28, [0, 0, 0, 0]) Solution: [11, 28] [0, 0, 0, 0]
60 1.4676644802093506 Robot: (27, 7, [1, 0, 0, 0]) Solution: [27, 7] [1, 0, 0, 0]
34 0.8410274982452393 Robot: (27, 19, [0, 1, 1, 0]) Solution: [27, 19] [0, 1, 1, 0]
73 1.8355441093444824 Robot: (28, 7, [1, 0, 1, 0]) Solution: [28, 7] [1, 0, 1, 0]
23 0.5709846019744873 Robot: (18, 32, [0, 1, 0, 0]) Solution: [18, 32] [0, 1, 0, 0]
21 0.5458688735961914 Robot: (23, 24, [0, 1, 0, 0]) Solution: [23, 24] [0, 1, 0, 0]
44 1.0728092193603516 Robot: (25, 37, [0, 0, 1, 0]) Solution: [25, 37] [0, 0, 1, 0]
22 0.5885252952575684 Robot: (7, 26, [0, 1, 0, 1]) Solution: [7, 26] [0, 1, 0, 1]
30 0.7744979858398438 Robot: (8, 25, [0, 0, 1, 0]) Solution: [8, 25] [0, 0, 1, 0]
26 0.6436877250671387 Robot: (13, 22, [0, 1, 0, 0]) Solution: [13, 22] [0, 1, 0, 0]
54 1.4078054428100586 Robot: (1, 37, [0, 0, 1, 1]) Solution: [1, 37] [0, 0, 1, 1]
37 1.0650172233581543 Robot: (23, 25, [0, 0, 0, 0]) Solution: [23, 25] [0, 0, 0, 0]
24 0.5993952751159668 Robot: (7, 37, [0, 0, 1, 0]) Solution: [7, 37] [0, 0, 1, 0]
69 1.7229418754577637 Robot: (7, 37, [0, 0, 1, 0]) Solution: [7, 37] [0, 0, 1, 0]
27 0.6763083934783936 Robot: (19, 21, [1, 0, 0, 0]) Solution: [19, 21] [1, 0, 0, 0]
24 0.6037082672119141 Robot: (24, 7, [1, 0, 1, 0]) Solution: [24, 7] [1, 0, 1, 0]
30 0.7545015811920166 Robot: (31, 35, [0, 1, 0, 0]) Solution: [31, 35] [0, 1, 0, 0]
31 0.7825145721435547 Robot: (22, 27, [1, 0, 1, 0]) Solution: [22, 27] [1, 0, 1, 0]
66 1.6549701690673828 Robot: (21, 36, [0, 1, 0, 1]) Solution: [21, 36] [0, 1, 0, 1]
37 0.9270162582397461 Robot: (15, 29, [0, 0, 0, 0]) Solution: [15, 29] [0, 0, 0, 0]
30 0.7471261024475098 Robot: (19, 31, [0, 0, 1, 0]) Solution: [19, 31] [0, 0, 1, 0]
56 1.4016869068145752 Robot: (15, 16, [0, 1, 0, 0]) Solution: [15, 16] [0, 1, 0, 0]
23 0.5728621482849121 Robot: (19, 30, [0, 1, 0, 0]) Solution: [19, 30] [0, 1, 0, 0]
53 1.3659064769744873 Robot: (9, 19, [0, 0, 1, 1]) Solution: [9, 19] [0, 0, 1, 1]
56 1.4123122692108154 Robot: (26, 1, [1, 0, 1, 0]) Solution: [26, 1] [1, 0, 1, 0]
56 1.8885383605957031 Robot: (8, 31, [1, 0, 1, 0]) Solution: [8, 31] [1, 0, 1, 0]
31 1.1831579208374023 Robot: (12, 31, [0, 0, 1, 0]) Solution: [12, 31] [0, 0, 1, 0]
29 0.8062398433685303 Robot: (6, 37, [0, 0, 1, 0]) Solution: [6, 37] [0, 0, 1, 0]
27 0.9253933429718018 Robot: (27, 18, [0, 1, 0, 1]) Solution: [27, 18] [0, 1, 0, 1]
47 1.2362782955169678 Robot: (31, 29, [0, 1, 1, 0]) Solution: [31, 29] [0, 1, 1, 0]
50 1.2415697574615479 Robot: (5, 5, [1, 1, 0, 0]) Solution: [5, 5] [1, 1, 0, 0]
37 0.9528999328613281 Robot: (8, 35, [0, 0, 0, 0]) Solution: [8, 35] [0, 0, 0, 0]
24 0.5898985862731934 Robot: (23, 27, [0, 0, 0, 0]) Solution: [23, 27] [0, 0, 0, 0]
27 0.9573523998260498 Robot: (27, 15, [1, 0, 0, 0]) Solution: [27, 15] [1, 0, 0, 0]
29 0.7216184139251709 Robot: (6, 28, [0, 0, 0, 1]) Solution: [6, 28] [0, 0, 0, 1]
28 0.7074837684631348 Robot: (17, 15, [0, 1, 0, 0]) Solution: [17, 15] [0, 1, 0, 0]
47 1.1706135272979736 Robot: (31, 12, [0, 1, 0, 0]) Solution: [31, 12] [0, 1, 0, 0]
29 0.7267587184906006 Robot: (26, 31, [0, 0, 0, 0]) Solution: [26, 31] [0, 0, 0, 0]
28 0.7311902046203613 Robot: (8, 36, [0, 1, 0, 0]) Solution: [8, 36] [0, 1, 0, 0]
34 0.8404662609100342 Robot: (1, 21, [0, 0, 1, 1]) Solution: [1, 21] [0, 0, 1, 1]
27 0.6853585243225098 Robot: (11, 26, [0, 1, 0, 1]) Solution: [11, 26] [0, 1, 0, 1]
48 1.3059053421020508 Robot: (13, 22, [0, 1, 0, 0]) Solution: [13, 22] [0, 1, 0, 0]
42 1.0402772426605225 Robot: (2, 6, [0, 1, 0, 0]) Solution: [2, 6] [0, 1, 0, 0]
51 1.2716515064239502 Robot: (18, 1, [1, 0, 1, 0]) Solution: [18, 1] [1, 0, 1, 0]
24 0.6011574268341064 Robot: (3, 21, [0, 1, 0, 0]) Solution: [3, 21] [0, 1, 0, 0]
40 0.9758720397949219 Robot: (3, 27, [0, 0, 1, 1]) Solution: [3, 27] [0, 0, 1, 1]
24 0.5952403545379639 Robot: (1, 17, [0, 1, 0, 1]) Solution: [1, 17] [0, 1, 0, 1]
35 0.8588061332702637 Robot: (9, 8, [0, 0, 0, 0]) Solution: [9, 8] [0, 0, 0, 0]
28 0.7099382877349854 Robot: (11, 26, [0, 1, 0, 1]) Solution: [11, 26] [0, 1, 0, 1]
25 0.6282556056976318 Robot: (22, 24, [0, 0, 0, 0]) Solution: [22, 24] [0, 0, 0, 0]
47 1.1825778484344482 Robot: (3, 22, [0, 0, 0, 0]) Solution: [3, 22] [0, 0, 0, 0]
27 0.6766955852508545 Robot: (23, 13, [0, 0, 1, 0]) Solution: [23, 13] [0, 0, 1, 0]
47 1.1714792251586914 Robot: (20, 17, [0, 0, 0, 0]) Solution: [20, 17] [0, 0, 0, 0]
51 1.27268385887146 Robot: (9, 19, [0, 0, 1, 1]) Solution: [9, 19] [0, 0, 1, 1]
43 1.0767362117767334 Robot: (4, 37, [0, 0, 1, 0]) Solution: [4, 37] [0, 0, 1, 0]
26 0.6600086688995361 Robot: (18, 25, [1, 0, 1, 0]) Solution: [18, 25] [1, 0, 1, 0]
26 0.6552941799163818 Robot: (13, 30, [0, 0, 0, 0]) Solution: [13, 30] [0, 0, 0, 0]
35 0.8675398826599121 Robot: (7, 1, [1, 0, 0, 0]) Solution: [7, 1] [1, 0, 0, 0]
23 0.5773148536682129 Robot: (1, 5, [0, 0, 0, 1]) Solution: [1, 5] [0, 0, 0, 1]
33 0.8156869411468506 Robot: (10, 5, [1, 0, 1, 0]) Solution: [10, 5] [1, 0, 1, 0]
