24 0.6398589611053467 Robot: (20, 9, [1, 0, 0, 0]) Solution: [20, 9] [1, 0, 0, 0]
28 0.8120872974395752 Robot: (15, 31, [0, 0, 0, 0]) Solution: [15, 31] [0, 0, 0, 0]
23 0.6203262805938721 Robot: (31, 12, [0, 1, 0, 0]) Solution: [31, 12] [0, 1, 0, 0]
20 0.5912883281707764 Robot: (17, 25, [0, 0, 1, 0]) Solution: [17, 25] [0, 0, 1, 0]
10 0.3294239044189453 Robot: (22, 25, [0, 0, 1, 0]) Solution: [22, 25] [0, 0, 1, 0]
13 0.3539712429046631 Robot: (29, 5, [0, 0, 1, 1]) Solution: [29, 5] [0, 0, 1, 1]
19 0.4591038227081299 Robot: (4, 36, [0, 0, 0, 1]) Solution: [4, 36] [0, 0, 0, 1]
22 0.5551276206970215 Robot: (31, 13, [0, 1, 0, 1]) Solution: [31, 13] [0, 1, 0, 1]
10 0.24989581108093262 Robot: (9, 31, [0, 1, 1, 0]) Solution: [9, 31] [0, 1, 1, 0]
18 0.4261174201965332 Robot: (29, 12, [0, 0, 0, 1]) Solution: [29, 12] [0, 0, 0, 1]
20 0.4793975353240967 Robot: (15, 19, [0, 0, 0, 1]) Solution: [15, 19] [0, 0, 0, 1]
30 0.7260241508483887 Robot: (10, 11, [0, 0, 1, 0]) Solution: [10, 11] [0, 0, 1, 0]
23 0.5440797805786133 Robot: (26, 24, [0, 0, 1, 1]) Solution: [26, 24] [0, 0, 1, 1]
12 0.28601503372192383 Robot: (12, 23, [0, 0, 1, 0]) Solution: [12, 23] [0, 0, 1, 0]
24 0.5725526809692383 Robot: (9, 13, [1, 0, 0, 0]) Solution: [9, 13] [1, 0, 0, 0]
20 0.4811704158782959 Robot: (19, 29, [0, 1, 0, 0]) Solution: [19, 29] [0, 1, 0, 0]
25 0.5959310531616211 Robot: (27, 17, [0, 0, 0, 0]) Solution: [27, 17] [0, 0, 0, 0]
19 0.45081043243408203 Robot: (1, 18, [0, 0, 0, 1]) Solution: [1, 18] [0, 0, 0, 1]
16 0.38277173042297363 Robot: (9, 34, [0, 0, 0, 0]) Solution: [9, 34] [0, 0, 0, 0]
12 0.28331422805786133 Robot: (1, 23, [1, 0, 0, 1]) Solution: [1, 23] [1, 0, 0, 1]
27 0.6468515396118164 Robot: (27, 7, [1, 0, 0, 0]) Solution: [27, 7] [1, 0, 0, 0]
17 0.41300249099731445 Robot: (16, 12, [0, 0, 1, 0]) Solution: [16, 12] [0, 0, 1, 0]
10 0.23548626899719238 Robot: (11, 7, [1, 0, 0, 1]) Solution: [11, 7] [1, 0, 0, 1]
10 0.24145936965942383 Robot: (31, 25, [0, 1, 1, 0]) Solution: [31, 25] [0, 1, 1, 0]
18 0.4250757694244385 Robot: (17, 32, [0, 0, 0, 0]) Solution: [17, 32] [0, 0, 0, 0]
16 0.39168310165405273 Robot: (31, 25, [0, 1, 1, 0]) Solution: [31, 25] [0, 1, 1, 0]
22 0.5214357376098633 Robot: (15, 14, [0, 1, 0, 1]) Solution: [15, 14] [0, 1, 0, 1]
22 0.5220420360565186 Robot: (31, 3, [0, 1, 0, 0]) Solution: [31, 3] [0, 1, 0, 0]
20 0.4770355224609375 Robot: (31, 34, [0, 1, 0, 0]) Solution: [31, 34] [0, 1, 0, 0]
35 0.9199690818786621 Robot: (5, 18, [0, 0, 0, 1]) Solution: [5, 18] [0, 0, 0, 1]
21 0.553168773651123 Robot: (4, 37, [0, 0, 1, 0]) Solution: [4, 37] [0, 0, 1, 0]
11 0.2899320125579834 Robot: (10, 5, [1, 0, 1, 0]) Solution: [10, 5] [1, 0, 1, 0]
17 0.4330730438232422 Robot: (31, 15, [0, 1, 0, 0]) Solution: [31, 15] [0, 1, 0, 0]
15 0.369415283203125 Robot: (27, 21, [1, 1, 0, 0]) Solution: [27, 21] [1, 1, 0, 0]
10 0.23963689804077148 Robot: (23, 11, [0, 1, 0, 1]) Solution: [23, 11] [0, 1, 0, 1]
17 0.4035069942474365 Robot: (28, 10, [1, 0, 1, 1]) Solution: [28, 10] [1, 0, 1, 1]
17 0.40353965759277344 Robot: (20, 17, [0, 0, 0, 0]) Solution: [20, 17] [0, 0, 0, 0]
16 0.3837144374847412 Robot: (25, 25, [1, 1, 0, 0]) Solution: [25, 25] [1, 1, 0, 0]
12 0.2880542278289795 Robot: (1, 12, [0, 0, 0, 1]) Solution: [1, 12] [0, 0, 0, 1]
14 0.34598827362060547 Robot: (19, 11, [1, 1, 0, 0]) Solution: [19, 11] [1, 1, 0, 0]
24 0.585230827331543 Robot: (31, 33, [0, 1, 0, 0]) Solution: [31, 33] [0, 1, 0, 0]
49 1.1944911479949951 Robot: (13, 7, [1, 0, 0, 0]) Solution: [13, 7] [1, 0, 0, 0]
12 0.2973909378051758 Robot: (12, 10, [0, 1, 0, 1]) Solution: [12, 10] [0, 1, 0, 1]
11 0.2595958709716797 Robot: (28, 35, [0, 0, 0, 0]) Solution: [28, 35] [0, 0, 0, 0]
19 0.4665565490722656 Robot: (1, 27, [0, 1, 0, 1]) Solution: [1, 27] [0, 1, 0, 1]
15 0.356616735458374 Robot: (28, 25, [0, 0, 0, 0]) Solution: [28, 25] [0, 0, 0, 0]
10 0.2501716613769531 Robot: (15, 20, [0, 1, 0, 0]) Solution: [15, 20] [0, 1, 0, 0]
13 0.3090236186981201 Robot: (5, 34, [0, 1, 0, 1]) Solution: [5, 34] [0, 1, 0, 1]
15 0.37876296043395996 Robot: (8, 8, [0, 0, 0, 0]) Solution: [8, 8] [0, 0, 0, 0]
15 0.35760974884033203 Robot: (10, 32, [1, 0, 1, 1]) Solution: [10, 32] [1, 0, 1, 1]
12 0.29625988006591797 Robot: (7, 16, [0, 1, 0, 0]) Solution: [7, 16] [0, 1, 0, 0]
12 0.2973513603210449 Robot: (23, 10, [0, 0, 0, 1]) Solution: [23, 10] [0, 0, 0, 1]
31 0.7357053756713867 Robot: (13, 3, [0, 1, 0, 1]) Solution: [13, 3] [0, 1, 0, 1]
19 0.4631340503692627 Robot: (17, 17, [0, 0, 1, 1]) Solution: [17, 17] [0, 0, 1, 1]
