6 0.13190865516662598 Robot: (12, 13, [0, 0, 1, 0]) Solution: [12, 13] [0, 0, 1, 0]
9 0.19556641578674316 Robot: (13, 9, [0, 0, 1, 0]) Solution: [13, 9] [0, 0, 1, 0]
8 0.1643509864807129 Robot: (16, 12, [0, 0, 1, 0]) Solution: [16, 12] [0, 0, 1, 0]
24 0.5104677677154541 Robot: (17, 5, [0, 1, 0, 1]) Solution: [17, 5] [0, 1, 0, 1]
4 0.08199095726013184 Robot: (2, 25, [1, 0, 0, 0]) Solution: [2, 25] [1, 0, 0, 0]
4 0.08573174476623535 Robot: (22, 35, [1, 0, 1, 0]) Solution: [22, 35] [1, 0, 1, 0]
5 0.1063380241394043 Robot: (21, 37, [0, 0, 1, 0]) Solution: [21, 37] [0, 0, 1, 0]
15 0.3157689571380615 Robot: (1, 27, [0, 1, 0, 1]) Solution: [1, 27] [0, 1, 0, 1]
2 0.04700613021850586 Robot: (28, 24, [0, 0, 0, 0]) Solution: [28, 24] [0, 0, 0, 0]
5 0.1137237548828125 Robot: (23, 24, [0, 1, 0, 0]) Solution: [23, 24] [0, 1, 0, 0]
5 0.11147046089172363 Robot: (5, 18, [0, 0, 0, 1]) Solution: [5, 18] [0, 0, 0, 1]
6 0.12787699699401855 Robot: (1, 29, [0, 0, 0, 1]) Solution: [1, 29] [0, 0, 0, 1]
3 0.06444215774536133 Robot: (9, 6, [0, 1, 0, 1]) Solution: [9, 6] [0, 1, 0, 1]
21 0.44315671920776367 Robot: (4, 31, [1, 0, 1, 0]) Solution: [4, 31] [1, 0, 1, 0]
13 0.27652931213378906 Robot: (22, 19, [0, 0, 1, 0]) Solution: [22, 19] [0, 0, 1, 0]
2 0.04415178298950195 Robot: (30, 30, [0, 1, 0, 1]) Solution: [30, 30] [0, 1, 0, 1]
4 0.09056282043457031 Robot: (1, 26, [0, 0, 0, 1]) Solution: [1, 26] [0, 0, 0, 1]
6 0.12687373161315918 Robot: (28, 24, [0, 0, 0, 0]) Solution: [28, 24] [0, 0, 0, 0]
4 0.08890366554260254 Robot: (29, 2, [0, 1, 0, 1]) Solution: [29, 2] [0, 1, 0, 1]
5 0.10769152641296387 Robot: (19, 1, [1, 0, 1, 0]) Solution: [19, 1] [1, 0, 1, 0]
2 0.04662919044494629 Robot: (28, 24, [0, 0, 0, 0]) Solution: [28, 24] [0, 0, 0, 0]
3 0.0668032169342041 Robot: (13, 29, [1, 0, 0, 0]) Solution: [13, 29] [1, 0, 0, 0]
3 0.06991219520568848 Robot: (3, 10, [0, 1, 0, 0]) Solution: [3, 10] [0, 1, 0, 0]
17 0.35210609436035156 Robot: (8, 35, [0, 0, 0, 0]) Solution: [8, 35] [0, 0, 0, 0]
4 0.08587265014648438 Robot: (31, 3, [0, 1, 0, 0]) Solution: [31, 3] [0, 1, 0, 0]
6 0.13064002990722656 Robot: (23, 37, [1, 0, 1, 0]) Solution: [23, 37] [1, 0, 1, 0]
2 0.04587697982788086 Robot: (19, 25, [0, 0, 0, 0]) Solution: [19, 25] [0, 0, 0, 0]
2 0.04534745216369629 Robot: (16, 30, [0, 1, 0, 0]) Solution: [16, 30] [0, 1, 0, 0]
1 0.022817611694335938 Robot: (14, 20, [1, 0, 0, 1]) Solution: [14, 20] [1, 0, 0, 1]
8 0.17898011207580566 Robot: (11, 37, [0, 0, 1, 0]) Solution: [11, 37] [0, 0, 1, 0]
4 0.08653974533081055 Robot: (25, 11, [1, 0, 0, 1]) Solution: [25, 11] [1, 0, 0, 1]
7 0.14993643760681152 Robot: (27, 15, [1, 0, 0, 0]) Solution: [27, 15] [1, 0, 0, 0]
6 0.1298079490661621 Robot: (26, 32, [0, 0, 1, 1]) Solution: [26, 32] [0, 0, 1, 1]
7 0.15055441856384277 Robot: (28, 34, [1, 1, 0, 0]) Solution: [28, 34] [1, 1, 0, 0]
4 0.08757162094116211 Robot: (19, 3, [1, 0, 0, 1]) Solution: [19, 3] [1, 0, 0, 1]
1 0.025341033935546875 Robot: (21, 11, [1, 1, 0, 1]) Solution: [21, 11] [1, 1, 0, 1]
13 0.2789421081542969 Robot: (21, 25, [0, 0, 1, 0]) Solution: [21, 25] [0, 0, 1, 0]
2 0.04522514343261719 Robot: (2, 16, [0, 1, 1, 0]) Solution: [2, 16] [0, 1, 1, 0]
6 0.12700724601745605 Robot: (23, 29, [0, 0, 0, 0]) Solution: [23, 29] [0, 0, 0, 0]
4 0.08375716209411621 Robot: (21, 37, [0, 0, 1, 0]) Solution: [21, 37] [0, 0, 1, 0]
13 0.27064990997314453 Robot: (16, 32, [0, 0, 1, 0]) Solution: [16, 32] [0, 0, 1, 0]
17 0.35657382011413574 Robot: (31, 20, [0, 1, 0, 1]) Solution: [31, 20] [0, 1, 0, 1]
3 0.07044410705566406 Robot: (20, 5, [0, 0, 1, 0]) Solution: [20, 5] [0, 0, 1, 0]
4 0.09080100059509277 Robot: (9, 37, [1, 0, 1, 0]) Solution: [9, 37] [1, 0, 1, 0]
3 0.06645488739013672 Robot: (6, 27, [1, 0, 0, 0]) Solution: [6, 27] [1, 0, 0, 0]
8 0.17223620414733887 Robot: (17, 16, [0, 1, 0, 1]) Solution: [17, 16] [0, 1, 0, 1]
8 0.1730365753173828 Robot: (5, 33, [0, 0, 0, 0]) Solution: [5, 33] [0, 0, 0, 0]
6 0.12900948524475098 Robot: (24, 25, [1, 0, 0, 0]) Solution: [24, 25] [1, 0, 0, 0]
5 0.11082935333251953 Robot: (13, 1, [1, 1, 0, 0]) Solution: [13, 1] [1, 1, 0, 0]
13 0.2759697437286377 Robot: (17, 23, [0, 1, 0, 0]) Solution: [17, 23] [0, 1, 0, 0]
8 0.18047666549682617 Robot: (15, 5, [1, 1, 0, 0]) Solution: [15, 5] [1, 1, 0, 0]
4 0.08456158638000488 Robot: (3, 37, [1, 0, 1, 0]) Solution: [3, 37] [1, 0, 1, 0]
3 0.06996417045593262 Robot: (25, 33, [1, 1, 0, 0]) Solution: [25, 33] [1, 1, 0, 0]
11 0.23296070098876953 Robot: (20, 9, [1, 0, 0, 0]) Solution: [20, 9] [1, 0, 0, 0]
4 0.08913421630859375 Robot: (29, 21, [0, 0, 1, 1]) Solution: [29, 21] [0, 0, 1, 1]
10 0.2169337272644043 Robot: (17, 12, [0, 1, 0, 0]) Solution: [17, 12] [0, 1, 0, 0]
8 0.1915757656097412 Robot: (28, 24, [0, 0, 0, 0]) Solution: [28, 24] [0, 0, 0, 0]
4 0.08872628211975098 Robot: (17, 31, [1, 0, 0, 0]) Solution: [17, 31] [1, 0, 0, 0]
7 0.15244340896606445 Robot: (11, 5, [1, 0, 1, 0]) Solution: [11, 5] [1, 0, 1, 0]
14 0.29550600051879883 Robot: (17, 25, [0, 0, 1, 0]) Solution: [17, 25] [0, 0, 1, 0]
23 0.47580599784851074 Robot: (18, 35, [1, 0, 1, 0]) Solution: [18, 35] [1, 0, 1, 0]
16 0.3380863666534424 Robot: (22, 23, [1, 0, 0, 0]) Solution: [22, 23] [1, 0, 0, 0]
5 0.10768389701843262 Robot: (17, 3, [1, 1, 0, 0]) Solution: [17, 3] [1, 1, 0, 0]
5 0.11145949363708496 Robot: (14, 7, [1, 0, 1, 0]) Solution: [14, 7] [1, 0, 1, 0]
3 0.07016253471374512 Robot: (9, 8, [0, 0, 0, 0]) Solution: [9, 8] [0, 0, 0, 0]
12 0.2557234764099121 Robot: (21, 7, [0, 0, 1, 0]) Solution: [21, 7] [0, 0, 1, 0]
15 0.31317615509033203 Robot: (29, 10, [0, 1, 0, 0]) Solution: [29, 10] [0, 1, 0, 0]
7 0.15670061111450195 Robot: (25, 25, [1, 1, 0, 0]) Solution: [25, 25] [1, 1, 0, 0]
13 0.2743532657623291 Robot: (21, 7, [0, 0, 1, 0]) Solution: [21, 7] [0, 0, 1, 0]
5 0.10412049293518066 Robot: (1, 17, [0, 1, 0, 1]) Solution: [1, 17] [0, 1, 0, 1]
8 0.16944289207458496 Robot: (19, 27, [0, 0, 0, 0]) Solution: [19, 27] [0, 0, 0, 0]
14 0.29741787910461426 Robot: (29, 5, [0, 0, 1, 1]) Solution: [29, 5] [0, 0, 1, 1]
11 0.23959136009216309 Robot: (17, 11, [1, 0, 0, 0]) Solution: [17, 11] [1, 0, 0, 0]
3 0.07025456428527832 Robot: (13, 18, [0, 0, 0, 1]) Solution: [13, 18] [0, 0, 0, 1]
12 0.2664813995361328 Robot: (23, 19, [1, 0, 1, 0]) Solution: [23, 19] [1, 0, 1, 0]
3 0.06731462478637695 Robot: (14, 16, [0, 0, 1, 0]) Solution: [14, 16] [0, 0, 1, 0]
2 0.04535365104675293 Robot: (16, 30, [0, 1, 0, 0]) Solution: [16, 30] [0, 1, 0, 0]
7 0.14915180206298828 Robot: (15, 5, [1, 1, 0, 0]) Solution: [15, 5] [1, 1, 0, 0]
2 0.04679465293884277 Robot: (28, 10, [1, 0, 1, 1]) Solution: [28, 10] [1, 0, 1, 1]
24 0.5047926902770996 Robot: (30, 15, [1, 0, 0, 0]) Solution: [30, 15] [1, 0, 0, 0]
