27 4.967039585113525 Robot: (22, 31, [0, 0, 1, 0]) Solution: [22, 31] [0, 0, 1, 0]
20 3.5950887203216553 Robot: (50, 14, [0, 1, 0, 1]) Solution: [50, 14] [0, 1, 0, 1]
24 4.707620143890381 Robot: (135, 17, [0, 0, 1, 1]) Solution: [135, 17] [0, 0, 1, 1]
30 5.503318548202515 Robot: (143, 2, [0, 1, 0, 1]) Solution: [143, 2] [0, 1, 0, 1]
26 4.877671241760254 Robot: (105, 48, [0, 1, 0, 0]) Solution: [105, 48] [0, 1, 0, 0]
29 5.358940124511719 Robot: (93, 19, [0, 0, 0, 1]) Solution: [93, 19] [0, 0, 0, 1]
12 2.196671485900879 Robot: (63, 13, [0, 0, 0, 0]) Solution: [63, 13] [0, 0, 0, 0]
16 3.0645689964294434 Robot: (142, 21, [0, 0, 1, 0]) Solution: [142, 21] [0, 0, 1, 0]
27 5.079759120941162 Robot: (47, 24, [0, 0, 0, 1]) Solution: [47, 24] [0, 0, 0, 1]
21 3.83134126663208 Robot: (73, 48, [0, 0, 0, 1]) Solution: [73, 48] [0, 0, 0, 1]
21 3.84423828125 Robot: (141, 33, [0, 0, 1, 0]) Solution: [141, 33] [0, 0, 1, 0]
16 3.0559048652648926 Robot: (46, 23, [1, 0, 1, 0]) Solution: [46, 23] [1, 0, 1, 0]
26 5.083816289901733 Robot: (57, 13, [0, 1, 0, 1]) Solution: [57, 13] [0, 1, 0, 1]
29 6.297702789306641 Robot: (123, 9, [0, 0, 0, 0]) Solution: [123, 9] [0, 0, 0, 0]
16 2.86360239982605 Robot: (19, 27, [0, 0, 1, 0]) Solution: [19, 27] [0, 0, 1, 0]
32 5.6920905113220215 Robot: (105, 47, [1, 0, 0, 0]) Solution: [105, 47] [1, 0, 0, 0]
21 3.7838594913482666 Robot: (124, 17, [0, 0, 0, 0]) Solution: [124, 17] [0, 0, 0, 0]
12 2.1131858825683594 Robot: (124, 30, [1, 0, 0, 1]) Solution: [124, 30] [1, 0, 0, 1]
29 5.064302206039429 Robot: (147, 41, [0, 0, 1, 0]) Solution: [147, 41] [0, 0, 1, 0]
16 2.8138606548309326 Robot: (68, 51, [1, 0, 0, 0]) Solution: [68, 51] [1, 0, 0, 0]
27 4.850245952606201 Robot: (137, 11, [0, 0, 1, 1]) Solution: [137, 11] [0, 0, 1, 1]
9 1.6149940490722656 Robot: (145, 22, [0, 0, 0, 1]) Solution: [145, 22] [0, 0, 0, 1]
34 8.788844108581543 Robot: (19, 48, [0, 1, 0, 1]) Solution: [19, 48] [0, 1, 0, 1]
25 8.607798337936401 Robot: (62, 10, [0, 0, 1, 0]) Solution: [62, 10] [0, 0, 1, 0]
14 4.792564630508423 Robot: (60, 8, [1, 1, 1, 0]) Solution: [60, 8] [1, 1, 1, 0]
21 7.081965923309326 Robot: (147, 41, [0, 0, 1, 0]) Solution: [147, 41] [0, 0, 1, 0]
15 5.2044103145599365 Robot: (74, 47, [1, 0, 0, 0]) Solution: [74, 47] [1, 0, 0, 0]
35 12.243576049804688 Robot: (87, 28, [0, 0, 0, 0]) Solution: [87, 28] [0, 0, 0, 0]
31 10.845509767532349 Robot: (12, 5, [0, 0, 1, 0]) Solution: [12, 5] [0, 0, 1, 0]
32 10.937108993530273 Robot: (40, 38, [0, 0, 0, 1]) Solution: [40, 38] [0, 0, 0, 1]
24 8.098953008651733 Robot: (40, 25, [0, 0, 0, 0]) Solution: [40, 25] [0, 0, 0, 0]
26 5.9437103271484375 Robot: (103, 29, [1, 1, 0, 0]) Solution: [103, 29] [1, 1, 0, 0]
20 5.078779220581055 Robot: (65, 15, [0, 0, 1, 0]) Solution: [65, 15] [0, 0, 1, 0]
14 3.2468552589416504 Robot: (93, 7, [1, 0, 1, 0]) Solution: [93, 7] [1, 0, 1, 0]
14 2.6835718154907227 Robot: (101, 43, [1, 0, 1, 0]) Solution: [101, 43] [1, 0, 1, 0]
27 6.080221176147461 Robot: (21, 35, [0, 0, 0, 1]) Solution: [21, 35] [0, 0, 0, 1]
31 5.452782154083252 Robot: (21, 45, [1, 0, 0, 0]) Solution: [21, 45] [1, 0, 0, 0]
21 3.7023892402648926 Robot: (145, 28, [0, 1, 0, 1]) Solution: [145, 28] [0, 1, 0, 1]
16 2.894326686859131 Robot: (27, 2, [0, 1, 0, 0]) Solution: [27, 2] [0, 1, 0, 0]
18 3.2713515758514404 Robot: (112, 16, [0, 0, 0, 0]) Solution: [112, 16] [0, 0, 0, 0]
20 3.5904011726379395 Robot: (43, 20, [0, 0, 0, 0]) Solution: [43, 20] [0, 0, 0, 0]
13 2.3005805015563965 Robot: (28, 30, [0, 1, 0, 1]) Solution: [28, 30] [0, 1, 0, 1]
29 7.487406492233276 Robot: (11, 30, [0, 1, 0, 1]) Solution: [11, 30] [0, 1, 0, 1]
28 9.836413383483887 Robot: (131, 17, [0, 1, 1, 0]) Solution: [131, 17] [0, 1, 1, 0]
49 17.154431581497192 Robot: (57, 37, [1, 0, 0, 0]) Solution: [57, 37] [1, 0, 0, 0]
37 12.833131551742554 Robot: (33, 49, [1, 0, 0, 0]) Solution: [33, 49] [1, 0, 0, 0]
24 8.131218433380127 Robot: (108, 9, [0, 0, 1, 0]) Solution: [108, 9] [0, 0, 1, 0]
20 6.821597099304199 Robot: (149, 22, [0, 0, 0, 1]) Solution: [149, 22] [0, 0, 0, 1]
22 7.519575595855713 Robot: (149, 19, [0, 0, 0, 1]) Solution: [149, 19] [0, 0, 0, 1]
24 8.134044885635376 Robot: (119, 38, [0, 1, 0, 1]) Solution: [119, 38] [0, 1, 0, 1]
43 16.310531854629517 Robot: (51, 7, [1, 0, 0, 1]) Solution: [51, 7] [1, 0, 0, 1]
27 9.536465167999268 Robot: (79, 23, [0, 0, 1, 1]) Solution: [79, 23] [0, 0, 1, 1]
14 6.733328819274902 Robot: (9, 28, [0, 1, 0, 1]) Solution: [9, 28] [0, 1, 0, 1]
24 8.505908489227295 Robot: (153, 11, [0, 1, 0, 0]) Solution: [153, 11] [0, 1, 0, 0]
87 25.631805658340454 Robot: (81, 33, [1, 0, 1, 0]) Solution: [81, 33] [1, 0, 1, 0]
13 2.327916383743286 Robot: (52, 26, [0, 0, 0, 1]) Solution: [52, 26] [0, 0, 0, 1]
15 3.6409647464752197 Robot: (140, 26, [0, 0, 0, 0]) Solution: [140, 26] [0, 0, 0, 0]
36 12.611866235733032 Robot: (147, 13, [0, 0, 0, 0]) Solution: [147, 13] [0, 0, 0, 0]
31 10.84768271446228 Robot: (59, 39, [1, 0, 0, 0]) Solution: [59, 39] [1, 0, 0, 0]
45 15.559153079986572 Robot: (102, 7, [1, 0, 0, 0]) Solution: [102, 7] [1, 0, 0, 0]
25 8.717164516448975 Robot: (44, 20, [0, 0, 0, 0]) Solution: [44, 20] [0, 0, 0, 0]
