15 5.161963939666748 Robot: (131, 50, [0, 0, 0, 1]) Solution: [131, 50] [0, 0, 0, 1]
18 6.175589084625244 Robot: (107, 43, [0, 1, 0, 1]) Solution: [107, 43] [0, 1, 0, 1]
36 12.174942255020142 Robot: (19, 35, [0, 1, 1, 1]) Solution: [19, 35] [0, 1, 1, 1]
11 3.621067523956299 Robot: (77, 17, [0, 1, 0, 0]) Solution: [77, 17] [0, 1, 0, 0]
8 2.64841365814209 Robot: (35, 23, [1, 0, 0, 0]) Solution: [35, 23] [1, 0, 0, 0]
6 1.967865228652954 Robot: (21, 23, [1, 0, 0, 1]) Solution: [21, 23] [1, 0, 0, 1]
4 1.3412044048309326 Robot: (74, 51, [1, 0, 1, 0]) Solution: [74, 51] [1, 0, 1, 0]
4 1.4068918228149414 Robot: (16, 2, [0, 0, 1, 0]) Solution: [16, 2] [0, 0, 1, 0]
16 3.676156520843506 Robot: (9, 1, [1, 0, 0, 0]) Solution: [9, 1] [1, 0, 0, 0]
14 3.1108336448669434 Robot: (152, 51, [1, 0, 0, 0]) Solution: [152, 51] [1, 0, 0, 0]
12 4.158912181854248 Robot: (28, 44, [0, 0, 0, 0]) Solution: [28, 44] [0, 0, 0, 0]
4 1.2471251487731934 Robot: (149, 53, [1, 0, 1, 0]) Solution: [149, 53] [1, 0, 1, 0]
8 2.5390448570251465 Robot: (58, 3, [1, 0, 0, 0]) Solution: [58, 3] [1, 0, 0, 0]
25 8.4860258102417 Robot: (50, 41, [0, 0, 0, 0]) Solution: [50, 41] [0, 0, 0, 0]
3 0.8890533447265625 Robot: (43, 12, [0, 0, 0, 0]) Solution: [43, 12] [0, 0, 0, 0]
15 5.412278652191162 Robot: (38, 50, [0, 1, 0, 0]) Solution: [38, 50] [0, 1, 0, 0]
4 1.4926705360412598 Robot: (1, 19, [0, 0, 0, 1]) Solution: [1, 19] [0, 0, 0, 1]
9 3.323140859603882 Robot: (85, 7, [0, 0, 1, 1]) Solution: [85, 7] [0, 0, 1, 1]
24 7.408075571060181 Robot: (149, 32, [0, 1, 0, 0]) Solution: [149, 32] [0, 1, 0, 0]
4 1.3621563911437988 Robot: (19, 40, [0, 0, 0, 0]) Solution: [19, 40] [0, 0, 0, 0]
4 1.3465576171875 Robot: (145, 15, [1, 0, 0, 0]) Solution: [145, 15] [1, 0, 0, 0]
13 4.109070539474487 Robot: (73, 17, [1, 0, 0, 0]) Solution: [73, 17] [1, 0, 0, 0]
12 4.391727685928345 Robot: (106, 32, [1, 0, 0, 0]) Solution: [106, 32] [1, 0, 0, 0]
19 6.673964023590088 Robot: (27, 31, [1, 0, 1, 1]) Solution: [27, 31] [1, 0, 1, 1]
3 1.0814096927642822 Robot: (18, 41, [0, 0, 1, 0]) Solution: [18, 41] [0, 0, 1, 0]
18 6.201992988586426 Robot: (77, 17, [0, 1, 0, 0]) Solution: [77, 17] [0, 1, 0, 0]
10 3.348649501800537 Robot: (79, 37, [1, 1, 0, 0]) Solution: [79, 37] [1, 1, 0, 0]
6 2.1024036407470703 Robot: (142, 19, [0, 0, 0, 0]) Solution: [142, 19] [0, 0, 0, 0]
18 6.080675363540649 Robot: (125, 29, [1, 0, 0, 1]) Solution: [125, 29] [1, 0, 0, 1]
10 3.335280656814575 Robot: (112, 46, [0, 0, 1, 0]) Solution: [112, 46] [0, 0, 1, 0]
10 3.5865554809570312 Robot: (123, 45, [0, 0, 0, 0]) Solution: [123, 45] [0, 0, 0, 0]
7 2.467972993850708 Robot: (99, 17, [1, 1, 0, 0]) Solution: [99, 17] [1, 1, 0, 0]
8 2.7884485721588135 Robot: (99, 9, [0, 0, 0, 0]) Solution: [99, 9] [0, 0, 0, 0]
8 2.6804940700531006 Robot: (36, 18, [0, 1, 0, 0]) Solution: [36, 18] [0, 1, 0, 0]
6 2.0314927101135254 Robot: (63, 27, [1, 0, 0, 1]) Solution: [63, 27] [1, 0, 0, 1]
4 1.4449684619903564 Robot: (131, 31, [1, 0, 0, 0]) Solution: [131, 31] [1, 0, 0, 0]
8 2.82898211479187 Robot: (37, 39, [0, 1, 1, 0]) Solution: [37, 39] [0, 1, 1, 0]
16 5.344336986541748 Robot: (119, 7, [0, 0, 1, 0]) Solution: [119, 7] [0, 0, 1, 0]
26 8.29887080192566 Robot: (133, 26, [0, 1, 0, 1]) Solution: [133, 26] [0, 1, 0, 1]
7 2.944385290145874 Robot: (117, 15, [1, 0, 0, 0]) Solution: [117, 15] [1, 0, 0, 0]
15 5.850201368331909 Robot: (112, 28, [0, 0, 1, 0]) Solution: [112, 28] [0, 0, 1, 0]
40 13.265512704849243 Robot: (65, 2, [0, 1, 0, 1]) Solution: [65, 2] [0, 1, 0, 1]
3 1.101931095123291 Robot: (95, 38, [0, 1, 0, 1]) Solution: [95, 38] [0, 1, 0, 1]
15 5.370628833770752 Robot: (77, 11, [0, 0, 0, 0]) Solution: [77, 11] [0, 0, 0, 0]
14 4.933784008026123 Robot: (153, 34, [0, 1, 0, 1]) Solution: [153, 34] [0, 1, 0, 1]
10 3.0151636600494385 Robot: (27, 44, [0, 0, 0, 1]) Solution: [27, 44] [0, 0, 0, 1]
7 2.4636847972869873 Robot: (141, 25, [1, 0, 0, 0]) Solution: [141, 25] [1, 0, 0, 0]
5 2.0313146114349365 Robot: (144, 40, [0, 1, 1, 0]) Solution: [144, 40] [0, 1, 1, 0]
14 3.7404167652130127 Robot: (43, 23, [1, 0, 0, 0]) Solution: [43, 23] [1, 0, 0, 0]
16 5.507966041564941 Robot: (61, 13, [0, 0, 0, 0]) Solution: [61, 13] [0, 0, 0, 0]
14 4.738372802734375 Robot: (100, 9, [1, 0, 1, 0]) Solution: [100, 9] [1, 0, 1, 0]
21 7.683406829833984 Robot: (36, 17, [0, 0, 0, 0]) Solution: [36, 17] [0, 0, 0, 0]
13 4.45344352722168 Robot: (123, 27, [0, 1, 0, 1]) Solution: [123, 27] [0, 1, 0, 1]
