25 1329.4565184116364 Robot: (563, 602, [0, 0, 0, 1]) Solution: [563, 602] [0, 0, 0, 1]
24 1240.8098757266998 Robot: (832, 741, [0, 0, 0, 0]) Solution: [832, 741] [0, 0, 0, 0]
22 1286.2199289798737 Robot: (133, 603, [1, 0, 0, 1]) Solution: [133, 603] [1, 0, 0, 1]
34 1831.7795317173004 Robot: (163, 1681, [1, 0, 0, 0]) Solution: [163, 1681] [1, 0, 0, 0]
