23 7.929385185241699 Robot: (1, 19, [0, 0, 0, 1]) Solution: [1, 19] [0, 0, 0, 1]
20 6.952016830444336 Robot: (86, 42, [1, 1, 0, 1]) Solution: [86, 42] [1, 1, 0, 1]
17 5.8871235847473145 Robot: (114, 40, [1, 0, 0, 1]) Solution: [114, 40] [1, 0, 0, 1]
25 8.57395625114441 Robot: (57, 32, [0, 1, 0, 1]) Solution: [57, 32] [0, 1, 0, 1]
23 7.752322673797607 Robot: (57, 7, [0, 0, 0, 0]) Solution: [57, 7] [0, 0, 0, 0]
20 6.623430013656616 Robot: (32, 25, [1, 0, 1, 0]) Solution: [32, 25] [1, 0, 1, 0]
13 3.7526450157165527 Robot: (62, 18, [1, 0, 0, 0]) Solution: [62, 18] [1, 0, 0, 0]
13 2.462613821029663 Robot: (90, 20, [0, 0, 1, 1]) Solution: [90, 20] [0, 0, 1, 1]
12 2.3823866844177246 Robot: (85, 29, [1, 0, 1, 0]) Solution: [85, 29] [1, 0, 1, 0]
33 6.056769371032715 Robot: (151, 1, [1, 0, 1, 0]) Solution: [151, 1] [1, 0, 1, 0]
14 2.486405849456787 Robot: (115, 12, [0, 1, 0, 0]) Solution: [115, 12] [0, 1, 0, 0]
24 4.481303691864014 Robot: (64, 6, [0, 0, 0, 1]) Solution: [64, 6] [0, 0, 0, 1]
18 3.199957847595215 Robot: (104, 21, [1, 0, 0, 0]) Solution: [104, 21] [1, 0, 0, 0]
29 5.119068622589111 Robot: (50, 40, [0, 1, 0, 0]) Solution: [50, 40] [0, 1, 0, 0]
30 5.570036172866821 Robot: (117, 41, [0, 0, 0, 1]) Solution: [117, 41] [0, 0, 0, 1]
32 5.9748547077178955 Robot: (113, 21, [0, 0, 1, 1]) Solution: [113, 21] [0, 0, 1, 1]
13 2.3720717430114746 Robot: (29, 24, [0, 0, 0, 0]) Solution: [29, 24] [0, 0, 0, 0]
11 1.8855562210083008 Robot: (31, 11, [1, 0, 0, 1]) Solution: [31, 11] [1, 0, 0, 1]
24 4.2728211879730225 Robot: (67, 6, [0, 1, 0, 1]) Solution: [67, 6] [0, 1, 0, 1]
14 3.36739444732666 Robot: (36, 19, [0, 0, 1, 0]) Solution: [36, 19] [0, 0, 1, 0]
21 7.321208477020264 Robot: (80, 4, [0, 1, 1, 1]) Solution: [80, 4] [0, 1, 1, 1]
23 8.003400325775146 Robot: (139, 7, [1, 0, 0, 1]) Solution: [139, 7] [1, 0, 0, 1]
23 7.992088556289673 Robot: (102, 47, [0, 0, 0, 0]) Solution: [102, 47] [0, 0, 0, 0]
62 21.71111750602722 Robot: (129, 21, [1, 1, 0, 0]) Solution: [129, 21] [1, 1, 0, 0]
14 4.8930487632751465 Robot: (119, 18, [0, 1, 0, 0]) Solution: [119, 18] [0, 1, 0, 0]
28 9.837342023849487 Robot: (117, 53, [0, 0, 1, 1]) Solution: [117, 53] [0, 0, 1, 1]
19 6.631398677825928 Robot: (52, 25, [1, 0, 0, 0]) Solution: [52, 25] [1, 0, 0, 0]
64 22.496126651763916 Robot: (43, 1, [1, 0, 1, 0]) Solution: [43, 1] [1, 0, 1, 0]
18 6.320581674575806 Robot: (113, 15, [0, 0, 0, 0]) Solution: [113, 15] [0, 0, 0, 0]
57 19.535472869873047 Robot: (131, 51, [0, 1, 0, 0]) Solution: [131, 51] [0, 1, 0, 0]
14 4.697612285614014 Robot: (36, 42, [0, 1, 0, 0]) Solution: [36, 42] [0, 1, 0, 0]
23 7.6201770305633545 Robot: (90, 29, [0, 0, 1, 0]) Solution: [90, 29] [0, 0, 1, 0]
28 9.27961778640747 Robot: (21, 28, [0, 1, 0, 0]) Solution: [21, 28] [0, 1, 0, 0]
28 9.547069549560547 Robot: (61, 39, [1, 0, 0, 0]) Solution: [61, 39] [1, 0, 0, 0]
34 11.928800344467163 Robot: (135, 3, [0, 1, 0, 1]) Solution: [135, 3] [0, 1, 0, 1]
19 6.599453926086426 Robot: (5, 48, [0, 1, 0, 1]) Solution: [5, 48] [0, 1, 0, 1]
