36 31.777835845947266 Robot: (42, 142, [0, 1, 0, 1]) Solution: [42, 142] [0, 1, 0, 1]
16 15.870415687561035 Robot: (186, 62, [1, 0, 0, 0]) Solution: [186, 62] [1, 0, 0, 0]
31 29.660856008529663 Robot: (120, 152, [0, 0, 0, 1]) Solution: [120, 152] [0, 0, 0, 1]
49 57.384937047958374 Robot: (181, 7, [1, 1, 0, 0]) Solution: [181, 7] [1, 1, 0, 0]
28 49.22476649284363 Robot: (69, 177, [0, 0, 1, 1]) Solution: [69, 177] [0, 0, 1, 1]
61 68.76394009590149 Robot: (20, 94, [0, 0, 0, 1]) Solution: [20, 94] [0, 0, 0, 1]
25 31.320276737213135 Robot: (102, 23, [0, 0, 1, 0]) Solution: [102, 23] [0, 0, 1, 0]
56 80.01796078681946 Robot: (27, 167, [1, 0, 0, 0]) Solution: [27, 167] [1, 0, 0, 0]
20 35.525593996047974 Robot: (103, 80, [0, 1, 0, 0]) Solution: [103, 80] [0, 1, 0, 0]
27 47.36146092414856 Robot: (172, 40, [0, 0, 0, 0]) Solution: [172, 40] [0, 0, 0, 0]
34 59.43051624298096 Robot: (67, 10, [0, 0, 0, 1]) Solution: [67, 10] [0, 0, 0, 1]
24 41.54009199142456 Robot: (186, 183, [1, 0, 0, 0]) Solution: [186, 183] [1, 0, 0, 0]
45 72.94615936279297 Robot: (95, 2, [0, 0, 0, 1]) Solution: [95, 2] [0, 0, 0, 1]
22 38.57617712020874 Robot: (16, 59, [1, 0, 0, 0]) Solution: [16, 59] [1, 0, 0, 0]
19 33.251994371414185 Robot: (125, 38, [0, 0, 0, 1]) Solution: [125, 38] [0, 0, 0, 1]
41 54.540547370910645 Robot: (51, 171, [0, 0, 1, 1]) Solution: [51, 171] [0, 0, 1, 1]
21 19.668102025985718 Robot: (13, 35, [0, 0, 1, 0]) Solution: [13, 35] [0, 0, 1, 0]
20 19.665395498275757 Robot: (141, 66, [0, 0, 0, 1]) Solution: [141, 66] [0, 0, 0, 1]
21 19.855958223342896 Robot: (44, 169, [1, 0, 1, 0]) Solution: [44, 169] [1, 0, 1, 0]
28 27.369561433792114 Robot: (60, 100, [1, 0, 1, 0]) Solution: [60, 100] [1, 0, 1, 0]
25 27.981711626052856 Robot: (112, 179, [1, 0, 1, 0]) Solution: [112, 179] [1, 0, 1, 0]
22 24.044301986694336 Robot: (35, 126, [0, 1, 0, 0]) Solution: [35, 126] [0, 1, 0, 0]
16 18.519954204559326 Robot: (27, 55, [1, 0, 1, 0]) Solution: [27, 55] [1, 0, 1, 0]
20 23.645965814590454 Robot: (139, 168, [0, 1, 0, 1]) Solution: [139, 168] [0, 1, 0, 1]
27 26.88028311729431 Robot: (162, 198, [1, 1, 0, 0]) Solution: [162, 198] [1, 1, 0, 0]
49 73.70331621170044 Robot: (82, 91, [0, 0, 1, 0]) Solution: [82, 91] [0, 0, 1, 0]
79 122.21625137329102 Robot: (149, 1, [1, 1, 0, 0]) Solution: [149, 1] [1, 1, 0, 0]
20 34.904340505599976 Robot: (125, 180, [0, 1, 0, 0]) Solution: [125, 180] [0, 1, 0, 0]
21 37.766331911087036 Robot: (57, 24, [0, 0, 0, 1]) Solution: [57, 24] [0, 0, 0, 1]
52 70.46383380889893 Robot: (83, 177, [0, 0, 0, 0]) Solution: [83, 177] [0, 0, 0, 0]
80 116.97100067138672 Robot: (192, 124, [1, 0, 0, 1]) Solution: [192, 124] [1, 0, 0, 1]
18 18.050485610961914 Robot: (4, 66, [0, 1, 1, 0]) Solution: [4, 66] [0, 1, 1, 0]
35 58.3312463760376 Robot: (175, 15, [0, 0, 1, 0]) Solution: [175, 15] [0, 0, 1, 0]
26 44.19444417953491 Robot: (180, 180, [0, 0, 0, 0]) Solution: [180, 180] [0, 0, 0, 0]
21 38.81049180030823 Robot: (141, 58, [0, 1, 0, 0]) Solution: [141, 58] [0, 1, 0, 0]
29 51.62201118469238 Robot: (73, 98, [0, 1, 0, 1]) Solution: [73, 98] [0, 1, 0, 1]
22 36.07933807373047 Robot: (27, 179, [0, 0, 1, 0]) Solution: [27, 179] [0, 0, 1, 0]
60 105.35504794120789 Robot: (169, 189, [0, 1, 0, 0]) Solution: [169, 189] [0, 1, 0, 0]
17 23.59374737739563 Robot: (159, 176, [0, 1, 0, 1]) Solution: [159, 176] [0, 1, 0, 1]
